fid,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,JOIN_KEY,GISJOIN,WHITE,BLACK,TOTPOP,POC
844,"17","031","720400","17031720400","7204",Census Tract 7204,G5020,S,663284,0,"+41.7099918",-087.6866686,"17031720400",G17031720400,1582,168,1961,379
845,"17","031","720500","17031720500","7205",Census Tract 7205,G5020,S,1042167,0,"+41.7028353",-087.6891011,"17031720500",G17031720500,1830,57,2086,256
846,"17","031","720600","17031720600","7206",Census Tract 7206,G5020,S,582372,0,"+41.7027764",-087.6772070,"17031720600",G17031720600,1277,293,1691,414
847,"17","031","720700","17031720700","7207",Census Tract 7207,G5020,S,1049859,0,"+41.7031071",-087.6651388,"17031720700",G17031720700,890,1837,3073,2183
855,"17","031","825801","17031825801","8258.01",Census Tract 8258.01,G5020,S,2445029,192553,"+41.6347618",-087.5729850,"17031825801",G17031825801,128,3196,3569,3441
856,"17","031","825802","17031825802","8258.02",Census Tract 8258.02,G5020,S,1497069,0,"+41.6263798",-087.5600589,"17031825802",G17031825802,194,4905,5862,5668
857,"17","031","825803","17031825803","8258.03",Census Tract 8258.03,G5020,S,1745675,0,"+41.6192447",-087.5620408,"17031825803",G17031825803,248,4997,5908,5660
860,"17","031","380100","17031380100","3801",Census Tract 3801,G5020,S,438048,0,"+41.8202019",-087.6100974,"17031380100",G17031380100,89,1924,2207,2118
861,"17","031","380200","17031380200","3802",Census Tract 3802,G5020,S,215130,0,"+41.8205740",-087.6149861,"17031380200",G17031380200,50,2239,2408,2358
862,"17","031","431200","17031431200","4312",Census Tract 4312,G5020,S,655295,0,"+41.7553011",-087.5711843,"17031431200",G17031431200,30,2687,2898,2868
863,"17","031","431400","17031431400","4314",Census Tract 4314,G5020,S,1084987,1126154,"+41.7572084",-087.5465550,"17031431400",G17031431400,176,6107,6716,6540
871,"17","031","610800","17031610800","6108",Census Tract 6108,G5020,S,332497,0,"+41.8127119",-087.6384046,"17031610800",G17031610800,983,38,1512,529
872,"17","031","611300","17031611300","6113",Census Tract 6113,G5020,S,327029,0,"+41.8049362",-087.6673039,"17031611300",G17031611300,106,250,3668,3562
873,"17","031","611400","17031611400","6114",Census Tract 6114,G5020,S,326619,0,"+41.8048929",-087.6721661,"17031611400",G17031611400,69,129,3737,3668
874,"17","031","611500","17031611500","6115",Census Tract 6115,G5020,S,507432,0,"+41.8053819",-087.6787310,"17031611500",G17031611500,138,317,3587,3449
875,"17","031","611900","17031611900","6119",Census Tract 6119,G5020,S,612381,41168,"+41.7985375",-087.6595552,"17031611900",G17031611900,15,1056,1984,1969
876,"17","031","681200","17031681200","6812",Census Tract 6812,G5020,S,794733,0,"+41.7691893",-087.6384976,"17031681200",G17031681200,15,2158,2353,2338
885,"17","031","691200","17031691200","6912",Census Tract 6912,G5020,S,1003068,10662,"+41.7526208",-087.6304113,"17031691200",G17031691200,5,2197,2277,2272
886,"17","031","691100","17031691100","6911",Census Tract 6911,G5020,S,675743,0,"+41.7617135",-087.6298721,"17031691100",G17031691100,19,2822,2980,2961
887,"17","031","730100","17031730100","7301",Census Tract 7301,G5020,S,656951,0,"+41.7251952",-087.6384256,"17031730100",G17031730100,9,2361,2462,2453
888,"17","031","730300","17031730300","7303",Census Tract 7303,G5020,S,297371,0,"+41.7274693",-087.6645667,"17031730300",G17031730300,1,989,1046,1045
889,"17","031","730400","17031730400","7304",Census Tract 7304,G5020,S,1285204,0,"+41.7178408",-087.6526479,"17031730400",G17031730400,14,3226,3386,3372
894,"17","031","826303","17031826303","8263.03",Census Tract 8263.03,G5020,S,1557566,0,"+41.6134138",-087.5914506,"17031826303",G17031826303,142,3689,4068,3926
895,"17","031","826304","17031826304","8263.04",Census Tract 8263.04,G5020,S,1275306,0,"+41.6180621",-087.5825095,"17031826304",G17031826304,77,2619,2874,2797
896,"17","031","730500","17031730500","7305",Census Tract 7305,G5020,S,1317608,0,"+41.7142653",-087.6381377,"17031730500",G17031730500,18,4008,4220,4202
897,"17","031","730600","17031730600","7306",Census Tract 7306,G5020,S,1007256,0,"+41.7106003",-087.6504857,"17031730600",G17031730600,25,3118,3254,3229
899,"17","031","381200","17031381200","3812",Census Tract 3812,G5020,S,258553,0,"+41.8085114",-087.6139992,"17031381200",G17031381200,35,1932,2077,2042
900,"17","031","381400","17031381400","3814",Census Tract 3814,G5020,S,316691,0,"+41.8076202",-087.6214298,"17031381400",G17031381400,38,1623,1796,1758
901,"17","031","381700","17031381700","3817",Census Tract 3817,G5020,S,196802,0,"+41.8055502",-087.6274463,"17031381700",G17031381700,1,7,18,17
902,"17","031","440300","17031440300","4403",Census Tract 4403,G5020,S,1295106,0,"+41.7437212",-087.6195424,"17031440300",G17031440300,23,4428,4677,4654
908,"17","031","612000","17031612000","6120",Census Tract 6120,G5020,S,325911,0,"+41.7978466",-087.6525360,"17031612000",G17031612000,21,1010,1448,1427
909,"17","031","612100","17031612100","6121",Census Tract 6121,G5020,S,326357,0,"+41.7979128",-087.6476808,"17031612100",G17031612100,20,905,1168,1148
