fid,NHGISST,NHGISCTY,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,JOIN_KEY,GEOID,STATEFP,COUNTYFP,WHITE,BLACK,TOTPOP,POC
827,"170","0310",G17003106110,"17003106110",560390.337545,3208.46711389,G17003106110,"17003106110","17","031",57,1209,1498,1441
828,"170","0310",G17003103904,"17003103904",329117.034584,2454.88862698,G17003103904,"17003103904","17","031",65,2394,2487,2422
829,"170","0310",G17003103812,"17003103812",255333.402323,2051.53869281,G17003103812,"17003103812","17","031",3,2210,2222,2219
830,"170","0310",G17003106111,"17003106111",328769.970651,2421.44090261,G17003106111,"17003106111","17","031",445,1081,3770,3325
831,"170","0310",G17003106113,"17003106113",331257.773889,2427.90932649,G17003106113,"17003106113","17","031",739,359,3485,2746
847,"170","0310",G17003105002,"17003105002",2158950.28624,6272.25669945,G17003105002,"17003105002","17","031",32,2507,2628,2596
848,"170","0310",G17003105003,"17003105003",731059.405631,3550.46912926,G17003105003,"17003105003","17","031",1114,87,1881,767
849,"170","0310",G17003108215,"17003108215",4781602.74615,12497.6145883,G17003108215,"17003108215","17","031",588,1979,2693,2105
850,"170","0310",G17003105306,"17003105306",1061588.66943,5265.24921248,G17003105306,"17003105306","17","031",64,4115,4272,4208
851,"170","0310",G17003104912,"17003104912",644771.817661,3220.16375657,G17003104912,"17003104912","17","031",22,2881,2925,2903
852,"170","0310",G17003107303,"17003107303",309765.664423,3072.54589002,G17003107303,"17003107303","17","031",26,1394,1427,1401
853,"170","0310",G17003104903,"17003104903",638324.279425,3111.87266903,G17003104903,"17003104903","17","031",10,2331,2349,2339
854,"170","0310",G17003107304,"17003107304",1250974.6499,4734.94212938,G17003107304,"17003107304","17","031",119,4161,4312,4193
859,"170","0310",G17003104102,"17003104102",67017.2032882,1151.36456952,G17003104102,"17003104102","17","031",572,695,1445,873
860,"170","0310",G17003104104,"17003104104",74046.0730119,1254.37866685,G17003104104,"17003104104","17","031",22,660,696,674
861,"170","0310",G17003104103,"17003104103",59545.4594794,1070.7782338,G17003104103,"17003104103","17","031",194,645,875,681
862,"170","0310",G17003106301,"17003106301",503139.547172,3285.21056374,G17003106301,"17003106301","17","031",305,251,1039,734
896,"170","0310",G17003107202,"17003107202",1679032.86088,5540.37809854,G17003107202,"17003107202","17","031",2366,2219,4712,2346
897,"170","0310",G17003107306,"17003107306",1007559.16452,4149.03656662,G17003107306,"17003107306","17","031",23,4190,4226,4203
913,"170","0310",G17003103804,"17003103804",323664.957871,2388.02228299,G17003103804,"17003103804","17","031",12,1095,1109,1097
914,"170","0310",G17003105806,"17003105806",488934.721197,3228.31182273,G17003105806,"17003105806","17","031",2259,3,3912,1653
